S.no,Name of the Enterprise,Address,Primary Contact 1,Primary Contact 2,Primary Contact Mail Id,Primary Contact Number
726,"Aegis Logistics Limited
","Plot No.P4 & P6, Between SJ Gate & IOC Terminal, Thaneerbhavi Road, Panambur, Mangalore-575010",1. Kanwaljit Sudarshan Nagpal,Kiran Suresh Bidi,"dhinakarn@aegisindia.com
kiran.bidi@aegisindia.com",7074163636/9872550330
727,"Padma Agro Impex
","D.No.82-P-2, Pillya, Navara Village, Belthangadi-574109.","Vikas Jain
","Vikas Jain
",padmaagroimpex@gmail.com,9972993227/9945551780
728,Coastal Farms and Feeds Private Limited,"Barimar Village, Balthila Post, Bantwal Taluk, Dakshina Kannada - 574253",1. Prakash Shetty P S,Prakash Shetty P S,internalauditor@coastalfarms.co.in,8660668432
729,"Delta Infralogistics (Worldwide) Limited,","S.No.135-1A,1B(P), 137-3, 3A, 3B(P), 141-13, Meenakali Road, Panambur, Mangalore-575010",1. Ahmed Mohiuddin,Balachandra Shetty,info@groupdelta.in,9448289828
730,"S.L.V. Power Private Limited
","S.No.146/57/A3D9, 146/26/A1,
146/25B1, 146/25B2, Bhamjaru, 
Neriya, Belthangadi - 574228",1.Syed Fahad,Pramod Kumar,ymk@yenepoya.org,9980774855/9972094473
731,D R Garments,"S No. 153/7A3P3, D.NO.II-228/2A, Jayanagara Road, Halegate, Sullia Taluk-574239, D.K.District","Ramachandra M 
","Ramachandra M 
",drsullia@yahoo.com,9448951832
732,ARM MOTORS LLP,"3-W-30-2386,3-W-30-2386/1, 3-W-30-2386/2, Praveen Plaza Building, Kadri, Mangalore - 575003",1. A Ganesh Rao,U Shashi Kumar,hr@armkia.com,9535623044
733,"Tirumala Motors
","S.No. 34/14P, Kadaba Village, Kadaba, Putur-574221","Krishna Kishore N T
","Krishna Kishore N T
",tirumalahonda3@gmail.com,9448481766
734,Sachin Bake & Iceream,"D.No. 3-113 & 3-113A, S.No.62/1A1, 390/1P1, Illanthila Village, Belthangady-574241",1. Sachin A S,Sachin A S,sachinbakeicecream@gmail.com,9611401755
735,Arrta Motors Private Limited,"D.No.3-W31-2552, United Towers Kadri Road, Kadri, Mangalore-575003",1. Vidya Rao Aroor,Ganesh Prasad,"gmservice@arthahonda.com
accounts@arthahonda.com",9845084711
736,M K Agrotech Private Limited,"Storage Tank Terminal T2, Survey No.16, Thannirbhavi Village, Mangalore-575003",1. Mohammed Imran Khan,Madhu,mangalore@masoom.in,9886875427/9611097777
737,Tribhuvan sales & Services,"Kulur Ferry Road, Near Ashoknagar Post Office, Kottara, Mangalore, Dakshina Kannada - 575006",1. Mithun Chowter,Shivananda Shenoy,mithunchowter@gmail.com,9845350202
738,"Blueline Foods (India) Private Limited, Unit-V
","Door No. 1/312A3, Kamblapadavu, Pajiru Post & Village, Bantwala, D.K.District - 574199",1. Mohammed Showkath Showry,Mohammed Showkath Showry,info@bluelinefoods.in,9343355466
739,D S Cashews,"S.No. 279/1A, 292/2A, D.No. 3-217, Panjala, Narimogaru, Mangalore, Dakshina Kannada - 574202",1. Mohammed Mustafa,Mohammed Mustafa,dscashewmangalore@gmail.com,9620447412
740,Niran Motors Private Limited,"1-16/9, Panvel-Cochin Highway, Bangra Kuloor, Kuloor, Mangalore Dakshina Kannada - 575012",1. Nihal Shetty,Nihal Shetty,acc.niranmotorsre@gmail.com,9964836081
741,Niran Motors Private Limited,"15-4-191, Opposite SCS Hospital, Upper Bendoor, Bendoorwell,  Mangalore Dakshina Kannada - 575002",1. Nihal Shetty,Nihal Shetty,acc.niranmotorsre@gmail.com,9964836081
742,Benaka Cashews,"S. No. 71/1A1P4, P5, P6, Renjilady Village, Puthur Taluk, Dakshina Kannada District - 574221",1. M Jayaprakash Shetty,M Jayaprakash Shetty,benakacashews@gmail.com,8150074777
743,Supreme Auto Dealers Private Limited,"S.No. 346-3(P), Upper Bendoor, Balmatta Road, Kadri Village, Mangalore - 575002",1.  A Arjun Rao,Guruprasad M,sales.mng@supremeauto.in,9845107707
744,Sandhya Fresh,"D.No. 8-57/6 & 8-57/68, Main Road, Ujire, Belthangady, Dakshina Kannada - 574240",G Jayalaxmi R Pai,G Jayalaxmi R Pai,paipaiuj@gmail.com,9845376234
745,B N Readymix Concrete India,"S.No. 243-2C5, D.No. 3-43/6, Charmady Road, Ujire, Belthangady, Dakshina Kannada - 574214",1. Praveen Kumar,Praveen Kumar,bnreadymixconcreteindia@gmail.com,9535400207
746,Ashirvad Ply Tech Industries,"D.No. 1-6-1, Kanchinadka Padav, Ira, Bhantwala, Dakshina Kannada - 574323",1. Shesappa Moolya,Shesappa Moolya,ashirwadplytech@gmail.com,9480016292
747,"Elite Boards and Doors
","D.No. 3-122/6, Sajeepa Nadu, Sajeepa, Bantwala, Dakshina Kannada - 574231",Abdul Hameed Sathikar,Ashraf G M,eliteboardsanddoors@gmail.com,9591141126/9591141126
748,Mangalore Refinery & Petrochemicals Limited,"S.No. 35P, 37P, 38/9 & 72P, Thannirbhavi Beach Road, Thannirbhavi, Mangalore, Dakshina Kannada - 575010",Nandakumar Velayudhan Pillai,N.Anandha Kumar,"psp@mrpl.co.in
contractsection@mrpl.co.in",9448495176/9448495738
749,The Campco Limited,"S.No. 252/4, 253/1A1, 253/1B, 252/1A2, 253/1A2P, Madnoor Village, Kavu, Puttur, Dakshina Kannada - 574223",B V Sathyanarayana,Govinda Bhat S,campco@bsnl.in,9448835485
750,New Textile Center,"2nd Floor, PVS Birth Centenary Building, Kodialbail, Mangalore, Dakshina Kannada - 575003",Gayathri Babu J,Gayathri Babu J,theuniformstoremlr@gmail.com,9342124333
751,V K Sofa Makers,"D.No. 4-6-3, Meenakaliya, Panambur, Mangalore, Dakshina Kannada District - 575011",Vittala Kulal Konaje,Vittala Kulal Konaje,vkadmn9@gmail.com,9845225335
752,Juden Group,"S.No. 26/1B2, Room No. 20-2-138, Kallugundi, Sampaje, Sullia, D.K.District - 574234",T J Chandravathi,T J Chandravathi,spareppady@gmail.com,9483923057
753,United Cars Private Limited,"105//1A2(P), Near Kepulu Circle, Puttur, Dakshina Kannada - 574203",1. Aroor Ganesh Rao,Ashwin Kumar,hr@unitedtoyota.net,98450094559686694291
754,Deccan Plast Industries Private Limited,"KIADB Plot, No. 10A, Kalambady Padavu, Mudipu, Bantwala - 574199",1. B H Asgar Ali,B H Asgar Ali,deccanplastpl@gmail.com,9945671201
755,M M Enterprises,"D. No. 2-214-5, Nirbail, Manchi, Bantwala, Dakshina Kannada - 574323",Abdul Azeez S M,Abdul Azeez S M,aeezsn39@gmail.com,9845942939
756,Best Boards And Ply,"S.No. 14/4 & 14/11, D.No. 1-72-1, Sajipanadu, Bantwala, Dakhina Kannada - 574231",Mohammed Ashraf,Mohammed Ashraf,bestboards2015@gmail.com,8880757575
757,Hindustan Petroleum Corporation Limted,"Neriya Immidiate Pumping Station, Neriya Village & Post, Belthangady, Dakshina Kannada - 574228",Ajith Pantheeradi,M S Karthi,ajith@hpcl.in,9483512969/8008797888
758,D Souza Engineering,"Door No. 1-15/92, NH-66, Opp. Abco Steel, Bangra Kulur, Mangalore, D.K.District - 575006",Jagannatha,Jagannatha,dsouzaengineering@gmail.com,9731530838
759,TVS Automobile Solutions Private Limited,"Door No. 1-T-76/11, Kulur Bangra Road, Kulur, Mangalore, Dakshina Kannada - 575013",1. Srinivasa Raghavan G,Mithesh Rao,mithesh.nagesh@tvs.in,9841005350/9741193022
760,M K Agrotech Private Limited,"S.No. 18, 27, & 36, At NMPT, Thannirbhavi, Panambur, Mangalore - 575010",1. Imran Khan,Madhu S,madhu@masoom.in,9900877777/9611097777
761,Auto Matrix,"N H -66, Idya Village, Mangalore, Dakshina Kannada - 575014",1. D Rajendra Kumar,Rajaram,ceo@automatricscars.in,9845496877/8904737156
762,Eesh Motors,"S.No. 9/2A2(P), Derebail Village, Mangalore, Dakshina Kannada - 575006",1. Aruna Kishore,Girish Kumar,hr@eeshmotors.com,9448481766/9483530500
763,Nimra Plywoods,"Door No. 3-120(10), Kanchinadka Padavu, Sajipanadu Village & Post, Bantwala Taluk, D.K District - 574231",Nasiruddin,Nasiruddin,nimraplywoods@gmail.com,9895174471
764,Sai Radha Motors,"Door No. 2-15-1315/1, 2-15-1315/2, Adhithi Enclave, Bejai Kapikad Road, Mangalore, Dakshina Kannada - 575004",1. Manohar S Shetty,Manohar S Shetty,sairadhatvsmlr@gmail.com,9243310605/9243350605
765,Popular Auto Works Private Limited,"D.No. 1-N-6-450/2, N H -66, Derebail Village, Kottara, Mangalore, Dakshina Kannada - 575006",2. Francis Kuttikaran Paul,Akshintala Suresh Kumar,p.abhilash@pawl.in,9900052762/9900052762
766,Ojas Cashew Private Limited,"D. No. 1-220/B, Loretto Padavu, Bhantwala, Dakshina Kannada - - 574211",1. M Tukaram Prabhu,M Tukaram Prabhu,ojascashew@gmail.com,9980310377
767,Natekal Wood Products,"s.No. 14-1P2, D.No. A-1-278, Amtoor, Bhantwala, Dakshina Kannada - 574222",Kalandar Shafi,Kalandar Shafi,kalandar5012@gmail.com,9880545012
768,"Kanchana Udyog
","Bhaskar Complex, Overbridge, Thokkottu, Ullal, Mangalore - 575020",Prasadraj Kanchan,Umesha K,kanchanahonda@gmail.com,9845083534/9448446050/7353762200
769,Hindusthan Colas Private Limited,"Plot P1, NMPT, Near NMPT Gate, Panambur Beach Road, Panambur, Mangalore, Dakshina Kannada - 575010",Sanjay Malhotra,Prashanth K A,prashant@hincol.com,8141277700/9902721824
770,Matrix Auto Corporation,"Sy. No. 165/1A, Door No. IDDY A-4-24/9, A-4-24/1, NH-66, Main Road, Idya vIllage, Surathkal, Krishnapura, Mangalore Dakshina Kannada - 575014",1. Dharmasthala Rajendra Kumar,Kiran M,hondamatrix@yahoo.co.in,7899512888/9740098141
771,Sri Swamy Prasad Associates,"Sy. No. 103/1B, Kashibettu, Laila Village, Belthangady, Dakshina Kannada - 574214",1. K M Nagesh Kumar,K M Nagesh Kumar,nagesh.niddle@gmail.com,9448180240
772,"Laxmi Industries
","Sy. No. 239-12, Charmady Road, Belthangady, Dakshina Kannada - 574240",K Mohan Kumar,K Mohan Kumar,mohanlaxmigroups@gmail.com,9448548735
773,SSPP Petro Products Private Limited,"S.No. 126/6,7,127/6,7,8,43/4,1A1,117/7,5B,C,D,8,9,10,11,14A,15,
126/1,2B, Panambur, Mangaluru - 575010",T Srinivasa Prabhu,Sreekanth Meti,sspp.mlr18@gmail.com,9844632805
774,Mangalore Wood and Ply,"S.No. 192-2A2, Manchi Village, Panemangalore Hobli, Bantwala, Dakshina Kannda - 574323",1. Abdul Hameed,Abdul Hameed,magalorewoodnply@gmail.com,9964491434
775,Mugrodi Constructions,"S.No. 98/19, 105/3, Nada Village, Belthangady Dakshina Kannada - 574214",Sushanth S Shetty,Sushanth S Shetty,dsshetty2006@yahoo.co.in,9901511670
776,Promix Concrete,"S.No. 174/1P,174/8,174/9, Kodaje, Mani, Bhantwala, Dakshina Kannada - 574253",Niveditha,Niveditha,promixconcrete2022@gmail.com,8748870220/9964083799
777,Navadurga Motors LLp,"S.No. 9-2A2, Door No.11-6-146/14-2, Pratham Complex, Ferry Road, Derebail Village, Mangalore, Dakshina Kannada - 575006",Uday Kumar Naik,Uday Kumar Naik,navadurgamotorsllp@gmail.com,9448120818
778,Levin Engineering,"S.No. 216-1C,216-1B1, Bantwala Kasaba Village, Bhantwala, Dakshina Kannada - 574211",Pius L Rodrigues,Pius L Rodrigues,levingengineering@gmail.com,8147100608
779,Souza Alluminium Industries,"Door No. 2-269, Bannur Village, Bannur, Puttur, Dakshina Kannada - 574203",Gilbert D'souza,Gilbert D'souza,saiptr@rediffmail.com,9448284200
780,The Akshaya Patra Foundation,"S.No. 5-1-P, Kodman Village, Benjanapadavu, Bantwala, Dakshina Kannada -  574219",S Chandrashekar,"Naveen Kumar Shetty
",naveen.kumar@akshayapatra.org,9886710546
781,N H Plywoods and Block Boards,"D.No. 25-2-17-81D and 1-270, Sampya, Aryapu, Puttur - 574210",Abdul Razak,Abdul Razak,nhwwodandplywood@gmail.com,9986059515
782,Sea Lord Containers Limited,"Plot No. T1, NMPT, Adjacent to MRPL Desalination Plant, Tannirbhavi Road, Mangalore, Dakshina Kannada- 575010",Kanwaljit Sudarshan Nagpal,Kiran Suresh Bidi,girishchandragiri@aegisindia.com,9342503933/9872550330/9342503933
783,Matrix Auto Corporation,"S.No. 52/3A(Part), D.No. 1-S-24-2044/1, Near Daivajna Kalyana Mantapa, Boloor, Marigudi Road, Mangaluru, Dakshina Kannada - 575006",D. Rajendra Kumar,Kiran M,hr.hondamatrix@yahoo.com,"7899512888, 9740098141"
784,Uniq Laminate and Doors,"S.No. 5-5, Meremajalu, Panemangalore Hobli, Panemangalore, Bhantwala, Dakshina Kannada - 574143",Mohammed Musthafa,Mohammed Musthafa,musthafafarangipete13@gmail.com,7204838070
785,Swadeshi Food and Beverages,"D No. KP3-186-A, Bengadodi, Near Al Qadisa School, Kavalpadnoor, Kulabagilu Post, Bhantwala, Dakshina Kannada - 574265",Mohammed Athaulla Bantwal,Mohammed Athaulla Bantwal,swadeshifb@gmail.com,9900765678
786,"AegisVopak Terminals Limited
","Plot No.V2 & V3, Beach Road, Opp. NMPA Admin Building, Panambur, Mangaluru - 575010",Kanwaljit Sudarshan Nagpal,Kiran Suresh Bidi,kiran.bidi@aegisvopak.com,9872550330/9619305550
787,M G Plywood Industries,"S.No. 14-2A, 14-4, Sajipanadu Village,
Mangalore, Dakshina Kannada - 574231",Siraj,Siraj,mgplywood895@gmail.com,9741423123
788,Alfa Ply,"D.No. 3-123/1, Kanchinadka, Bantwala, Dakshina Kannada - 574231",Ashraf G M,Ashraf G M,ashrafgm246@gmail.com,9591962872
789,Bharath Auto Cars Private Limited,"S.No. 1376/1-41, 1375/41-2, AIPI2, Kasaba Bazar, Kandathpalli, Kodialbail, Mangalore - 575003, Dakshina Kannada",Sudhir Madhav Pai,Mahesh,hr@bharathauto.co.in,9916303030
790,Ullas Ice Cream and Milk Products,"S.No. 175-2, Shamboor Village, Bhantwala, Dakshina Kannada - 574231",B H Uday Pai,B H Uday Pai,udayaullas78@gmail.com,9845487178
791,Sachin Ventures,"Sy. No. 344/5, Balthila Village, Balthila, Bhantwala, Dakshina Kannada - 574253",Sachin Nayak S,Sachin Nayak S,kuaraj04@gmail.com,6361748166
792,"Mandovi Motors Private Limited
","Sy. No. 122/2P1, Naravi Village, Belthangadi, Dakshina Kannada - 574109",Aroor Sanjay Rao,Ganesh,hrdsmlr@mandovi.net,9845133077/ 8105984063
793,Gail Gas Limited,"Sy. No. 151-4 B2A(P), 151-4B3A(P), Panambur, Mangalore, Dakshina Kannada - 575010",Sanjay Kumar Singh,Balivada Sai Shakar,aboonihadpk@gail.co.in,9899787409/78290600001
794,Kanchan Udyog,"No. 14-255/A(1), Kaikamba, Jodumarga, Bhantwala, Dakshina Kannada - 574219",Prasadraj Kanchan,Prateek Kamath,accounts@kanchanahonda.com,9845083534/ 8722980999
795,Kanchan Udyog,"Sy. No. 436/14P5, Meginapete, Vittal Kasaba, Bhantwala, Dakshina Kannada - 574243",Prasadraj Kanchan,Prateek Kamath,vitla@kanchanahonda.com,9845083534/ 8722980999
796,Amsun Clothing and Fashion,"Sy. No. 127-1A2B2, Belthangady Taluk, Naravi, Belthangady, Dakshina Kannada - 574109",Divya Hegde,Naveen Hegde,amsunclothing@gmail.com,9743690789/9740075125
797,H K Marine Products,"D No. 1-7-1-2, Sea Road, Kotepura, Ullal, Mangalore, Dakshina Kannada - 575020",Khader H K,Khader H K,mmpfish_oil05@yahoo.co.in,9448144108
798,Shri Dharmastala Siri Gramodyoga Samsthe ®,"S.No. 33-1B, 33-3B, 334A2, 161-2C, 161-5, 161-3, Renkedaguttu Kasba, Belthangady, Dakshina Kannada - 574214",K N Janardhana,Prasanna U,siridirector2024@gmail.com,8722442010
799,Advaith Aerospace Private Limited,"No. 56, S.No. 17/7A, 17/8, NH 66, Kodical Cross Road, Bangra Kuloor Village, Mangalore, Dakshina Kannada - 575006",O S Sudeendra Kumar,Sharath Poojary,manager.accounts@advaithkia.com,"9164209010, 9845817879"
800,Saibaba Polymer Technologies Private Limited,"S.No. 134-1B1D, Kumdelu,. Mangalore Bangaloree Highway, Near Susheel Enterprises, Bantwala, Dakshin Kannada - 574143",Pavan Chandra Pidishetty,Sushant Kumar Biswas,info@babaindia.net,9640977777/8591867663
801,Craftwood Industries,"S.No. 24-1B, Ira Village, Ira, Bhantwala, Dakshina Kannada - 574323",Keerthan G Kottari,Keerthan G Kottari,craftwoodindustry@gmail.com,9448377274
802,Bharath Board Products,"S.No. 23-1, D.No. 2-55-2, Parangipete, Bhantwala, Dakshina Kannada - 574237",Mohammed Fahad Sajeepa,Mohammed Fahad Sajeepa,mohammedfahad1178@gmail.com,9964889042
803,Agrileaf Exports Private Limited,"S. No. 30-2, Nidle, Belthangady, Dakshina Kannada - 574216",Avinash Rao,Avinash Rao,ceo@agrilef.in,9986073275
804,M/S BIG BAGS INTERNATIONAL PRIVATE LIMITED,"Flat No:- Block #8, Building:- BIG BAGS INTERNATIONAL PRIVATE LIMITED, Road/Street:- EPIP Industrial Area, Village/Town:- GANJIMUT, Block:- Block 8, City:- Mangaluru",M/S BIG BAGS INTERNATIONAL PRIVATE LIMITED,,cs@bigbagsinternational.com,9008223433
805,IDEAL ICE CREAM,"Flat No:- 13-2-67, Building:- IDEALS, Road/Street:- MARKET ROAD, Village/Town:- NEAR LAXMI CLOTH STORES, Block:- HAMPANAKATTA, City:- MANGALURU",SHRI SHIBARUR MUKUND KAMATH,,MK@IDEALICECREAM.COM,9448121673
806,M/S SHYAMA JEWELS PUTTUR LLP,"Flat No:- 476 G AND H, Building:- INDIAN ARCADE, Road/Street:- COURT ROAD, Village/Town:- PUTTUR, Block:- INDIAN ARCADE, City:- PUTTUR",M/S SHYAMA JEWELS PUTTUR PRIVATE LIMITED,,accptr@muliyajewel.com,9379206916
807,M/S SHYAMA JEWELS SOURCING LLP,"Flat No:- 476 G AND H, Building:- INDIAN ARCADE, Road/Street:- COURT ROAD, Village/Town:- PUTTUR, Block:- 476 G AND H, City:- PUTTUR",M/S SHYAMA JEWELS SOURCING PRIVATE LIMITED,,accbdy@muliyajewel.com,9844861916
808,M/S KONKAN SPECIALITY POLY PRODUCTS PRIVATE LIMITED,"Flat No:- B-129, Building:- KIADB, Road/Street:- Baikampady, Village/Town:- Industrial Area, Block:- Baikampady, City:- Mangalore",M/S KONKAN SPECIALITY POLY PRODUCTS PRIVATE LIMITED,,info@konspec.com,9483514630
809,M/S GARODI STEELS CORPORATION,"Flat No:- 6-92/1, Building:- GARODI STEELS CORPORATION, Road/Street:- INDUSTRIAL AREA, Village/Town:- BAIKAMPADY, Block:- PLOT NO 132 B, City:- MANGALORE",M/S GARODI STEELS CORPORATION,,garodisteelscorporation@gmail.com,9880611214
810,M/S SHREE GARODI STEELS,"Flat No:- 6-92/2, Building:- SHREE GARODI STEELS, Road/Street:- KIADB Industrial Area, Village/Town:- baikampady, Block:- plot 132B, City:- MANGALORE",M/S SHREE GARODI STEELS,,garodisteels@gmail.com,9845080728
811,M/S MUKKA SEA FOOD INDUSTRIES LIMITED,"Flat No:- 18-2-16/4, Building:- MUKKA CORPORATE HOUSE, Road/Street:- N G ROAD, Village/Town:- ATTAVAR, Block:- ATTAVAR, City:- MANGALORE",M/S MUKKA SEA FOOD INDUSTRIES LIMITED,,info@mukkaseafoods.com,9964140235
812,DIGITAL PLANET,"Flat No:- 5-7-709/1,2,3,4, Building:- BRAHMA SAMAJ COMPLEX, Road/Street:- NAVABHARATH CIRCLE, Village/Town:- MANGALURU, Block:- KODIALBAIL, City:- MANGALURU",SHRI BOLOOR PRAVEEN SWEEKRATH,,sweekrath@digital-planet.in,9945511533
813,M/S CARDOLITE SPECIALTY CHEMICALS INDIA LLP,"Flat No:- Plot No IP 1 & I, Building:- Mangalore Special Economic Zone, Road/Street:- Paila, Village/Town:- Bajpe, Block:- Village & Post, City:- Mangaluru",M/S CARDOLITE SPECIALTY CHEMICALS INDIA LLP,,amusba@cardolite.com,9980251225
814,M/S BLUELINE FOODS (INDIA) PRIVATE LIMITED,"Flat No:- 14-4-511/57, Building:- 4TH FLOOR, SUITE NO.406, CRYSTAL ARC BUILDING, Road/Street:- BALMATTA ROAD, Village/Town:- BALMATTA, Block:- BALMATTA, City:- MANGALORE",M/S BLUELINE FOODS INDIA PRIVATE LIMITED,,info@bluelinefoods.in,9591340066
815,M/S SHRI MAHALAXMI ENTERPRISES,"Flat No:- 3E-18-1585,3rd FLOOR, Building:- VIJAYASHREE ARCADE, Road/Street:- OPP PADUVA HIGH SCHOOL, Village/Town:- KADRI, Block:- NANTHOOR, City:- MANGALORE",M/S SHRI MAHALAXMI ENTERPRISES,,shrimahalaxmienterprisesbng@gmail.com,7338081004
816,M/S SRI VIJAYALAXMI CASHEW INDUSTRIES,"Flat No:- Door No. 17-95/1, Building:- BANTWAL ROAD, Road/Street:- BANTWAL ROAD, Village/Town:- MOODBIDRI, Block:- MOODBIDRI, City:- MOODBIDRI",M/S SRI VIJAYALAXMI CASHEW INDUSTRIES,,raocashew@gmail.com,9845295951
817,MANGALORE MINERALS PRIVATE LIMITED,"Flat No:- 13-4-380/7, Building:- Mineral House, Road/Street:- U P Mallya Road, Village/Town:- Opp. University College, Block:- Hampankatta, City:- Mangaalore",M/S MANGALORE MINERALS PRIVATE LIMITED,,mmplsand@gmail.com,9845084076
818,M/S LIYA INFRATECH PRIVATE LIMITED,"Flat No:- #4,1st FLOOR, Building:- UNITY BUILDING NEAR CORPORATION CIRCLE, Road/Street:- MISSION ROAD, Village/Town:- NEAR CORPORATION CIRCLE, Block:- C BLOCK, City:- BANGALORE",M/S LIYA INFRATECH PRIVATE LIMITED,,liyaainfratech@yahoo.com,9845290009
819,MUGRODY CONSTRUCTIONS,"Flat No:- C-13,14,15, Building:- Mugrody Enclave, Road/Street:- Kuloor- Kavoor Road, Village/Town:- Kunjathbail, Block:- Gandhinagara, City:- Mangalore",M/S MUGRODY CONSTRUCTIONS,,dsshetty2006@yahoo.co.in,9901332890
820,M/S SUPREME MOTORS,"Flat No:- 14-2-111/1, Building:- ARVIND BUILDING, Road/Street:- BALMATTA ROAD, Village/Town:- HAMPANKATTA, Block:- HAMPANKATTA, City:- MANGALORE",M/S SUPREME MOTORS,,accounts@supremeauto.in,8296907880
821,M/S SKF ELIXER INDIA PRIVATE LIMITED,"Flat No:- 3-128(3), Building:- SKF CAMPUS, Road/Street:- NH, Village/Town:- Belvai, Moodbidri, Block:- Bannadka, City:- Mangalore",M/S SKF ELIXER INDIA PRIVATE LIMITED,,account@skfelixer.in,9945245295
822,M/S AKSHAYA FOODS,"Flat No:- PLOT NO 180, Building:- SHREE MAHALASA, Road/Street:- NEW MANGALORE, Village/Town:- INDUSTRIAL AREA, Block:- BAIKAMPADY, City:- MANGALURU",M/S AKSHAYA FOODS,,akshaya.fds@gmail.com,9844136989
823,M/S SPAN AQUATIC PRODUCTS,"Flat No:- 4TH FLOOR, Building:- SPAN AQUATIC PRODUCTS, Road/Street:- PANDESHWAR, Village/Town:- PARADIGM PLAZA, Block:- A.B SHETTY CIRCLE, City:- MANGALORE",M/S SPAN AQUATC PRODUCTS,,spanaquaticproducts@gmail.com,9845080858
824,M/S KARNATAKA AGENCIES,"Flat No:- 1-5-409/1, Building:- KARNATAKA AGENCIES, Road/Street:- NH 66, Village/Town:- KOTTARA CHOWKI, Block:- 25, City:- MANGALORE",M/S KARNATAKA AGENCIES,,hrd@karagencies.com,9741497677
825,M/S HYSUM STEELS,"Flat No:- 1-63/3, Building:- HYSUM STEELS, NEAR POST OFFICE, Road/Street:- NH- 75, Village/Town:- KANNUR, Block:- PADIL, City:- MANGALORE",M/S HYSUM STEELS,,hysumsteels@gmail.com,9845530999
826,M/S BRIGHTFLEXI INTERNATIONAL PRIVATE LIMITED,"Flat No:- 4-1-143/1, Building:- Vertex One Gateway Building, Road/Street:- Ballalbagh, Village/Town:- MG Road, Block:- Mangalore, City:- Mangalore",M/S BRIGHTFLEXI INTERNATIONAL PRIVATE LIMITED,,finance@akbansalgroup.com,8884097699
827,M/S BRIGHT PACKAGING PRIVATE LIMITED,"Flat No:- 162-B, Building:- Bright Packaging Private Limited, Road/Street:- Baikampady Industrial Area, Village/Town:- Baikampady, Block:- 162-B, City:- Mangalore",M/S BRIGHT PACKAGING PRIVATE LIMITED,,accounts@brightpackaging.in,8088252546
828,M/S QCRETE READYMIX INDIA PRIVATE LIMITED,"Flat No:- # 214, Building:- MINDSPACE, Road/Street:- YEYYADI, Village/Town:- YEYYADI, Block:- Opp to Volksvagan Showroom, City:- MANGALORE",M/S QCRETE READYMIX (INDIA) PRIVATE LIMITED,,headoffice@qcreteindia.com,7356602390
829,M/S SULTHAN RETAIL L.L.P,"Flat No:- 16-2-63/53,54, Building:- First Floor, Mangalore Gate, Road/Street:- By Pass Road, Kankanady, Village/Town:- Kankanady, Block:- Kankanady, City:- Mangalore",M/S SULTHAN RETAIL L.L.P,,acmanager@sulthangold.com,8904023916
830,M/S COMPANION MINERALS PRIVATE LIMITED,"Flat No:- 28, Building:- KERALA SAMAJAM COMPLEX, Road/Street:- K. S. RAO ROAD, Village/Town:- MANGALORE, Block:- NIL, City:- MANGALORE",M/S COMPANION MINERALS PRIVATE LIMITED,,comp.mineral@gmail.com,9845525737
831,M/S G.L.ACHARYA,"Flat No:- II-837, Building:- G L COMPLEX, Road/Street:- MAIN ROAD, Village/Town:- PUTTUR, Block:- GROUND FLOOR, City:- PUTTUR",M/S G.L.ACHARYA,,glacharya.puttur@gmail.com,9845236360
832,M/S DELTA INFRALOGISTICS WORLDWIDE LIMITED,"Flat No:- 6TH FLOOR, Building:- DELTA HOUSE, Road/Street:- BANGRA KULUR ROAD, Village/Town:- KULUR, Block:- KULUR, City:- MANGALORE",M/S DELTA INFRALOGISTICS (WORLDWIDE) LIMITED,,info@groupdelta.in,9448289815
833,M/S NIYAZ SEA FOODS,"Flat No:- 21-4-422A, Building:- Niyaz Sea Foods, Road/Street:- Bolar, Village/Town:- Hoige Bazar, Block:- OPP KFDC, City:- Mangalore",M/S NIYAZ SEA FOODS,,uhoffice66@gmail.com,8861069666
834,M/S RELIABLE CASHEW COMPANY PRIVATE LIMITED,"Flat No:- Plot No.429, Building:- RELIABLE CASHEW COMPANY PRIVATE LIMITED, Road/Street:- Industrial Area, New Mangalore, Village/Town:- Baikampady, Block:- Road no.10, City:- BAIKAMPADY INDUSTRIAL ARE",M/S RELIABLE CASHEW COMPANY PRIVATE LIMITED,,ramkumar@reliablecashew.com,9731777321
835,M/S DURGA MOTORS COMPANY,"Flat No:- 3-17/15, Building:- Durga Motors Co, Road/Street:- Kulur Junction, Village/Town:- Padukodi, Block:- Kulur, City:- Mangalore",M/S DURGA MOTORS COMPANY,,kumar@durgamotors.com,9448378018
836,M/S AUTO MATRIX,"Flat No:- 4-1-1/1 and 3, Building:- MANJUSHA, Road/Street:- Bejai Main Road, Village/Town:- Bejai, Block:- Bejai, City:- Mangalore",M/S AUTO MATRIX,,405raj@gmail.com,9481454545
837,M/S BHARATH AGRO VET INDUSTRIES,"Flat No:- -, Building:- BHARATH AGRO VET INDUSTRIES, Road/Street:- Behind Annapoorneshwari, Village/Town:- Pumpwell, Block:- -, City:- Mangalore",M/S BHARATH AGRO VET INDUSTRIES,,bharathagrovet@rediffmail.com,9448465799
838,M/S AMAR INFRAPROJECTS,"Flat No:- C-109, Building:- Mugrody Enclave, Road/Street:- Kavoor, Village/Town:- Gandhinagar, Block:- Kavoor, City:- Mangalore",M/S AMAR INFRAPROJECTS,,accounts@amarinfraprojects.in,8105124444
